x,y,z
606185.099435,4062277.90572,-76.2092346895
606181.478006,4062262.45429,-76.1231512689
606190.361487,4062300.35715,-76.3343166641
606222.765633,4062438.61483,-77.1045816409
606223.906027,4062443.48052,-77.1316894628
606228.680295,4062463.85073,-77.2451765316
606228.843982,4062464.54912,-77.2490674533
606229.093647,4062467.20573,-77.2632174858
606236.452591,4062545.50978,-77.6802931789
606236.894377,4062550.21068,-77.7053318887
606250.272402,4062692.56174,-78.4635451655
606251.441393,4062705.00059,-78.5297989428
606254.882732,4062741.61871,-78.7248403303
611478.996825,4062265.3984,-46.5100912668
611479.987955,4062261.30265,-46.5560653176
611480.678828,4062268.9458,-46.4956489262
611485.148272,4062259.60922,-46.6041665267
611485.148272,4062310.88177,-46.2305169161
611468.464433,4062728.37674,-43.2027576943
611467.224038,4062741.61871,-43.1294236072
611470.201529,4062717.89224,-43.3000840951
611485.148272,4062609.18494,-44.1498528139
611705.506043,4061789.17808,-52.5437089903
611658.228908,4061889.91405,-51.2660174333
611495.959165,4062494.92794,-45.0130022315
611493.747427,4062510.33371,-44.8920021253
611749.599491,4061551.06792,-54.6605679015
611742.702569,4061584.7571,-54.3570864253
611785.148272,4061406.37969,-55.9997637221
606258.824168,4062783.55821,-78.6090910378
606260.677791,4062803.282,-78.5546551447
606259.323935,4062788.87606,-78.5944142468
606260.758916,4062804.14521,-78.5522727424
606271.793311,4062921.5585,-78.2282225042
606279.073094,4062999.02022,-77.8990618199
606280.617832,4063015.45727,-77.8292153493
606280.929559,4063018.84499,-77.814821861
606284.230777,4063054.72138,-77.662393201
606284.655717,4063059.33947,-77.6427722317
606288.933535,4063105.82917,-77.4452505807
606288.803209,4063104.41284,-77.4512681881
606290.492849,4063122.7752,-77.3732516894
606290.128445,4063118.81499,-77.3900774765
606294.131034,4063162.31361,-77.2052641009
606293.717357,4063157.81793,-77.2243649754
606297.667079,4063200.74201,-77.0419926725
606297.534473,4063199.30089,-77.0481155535
606298.707956,4063212.05387,-76.9939317598
606305.087413,4063281.38337,-76.3457125709
606299.240286,4063217.83903,-76.9693522453
606316.936014,4063410.14947,-75.8435700434
606324.821924,4063495.85056,-75.0194293355
606321.150341,4063455.94919,-75.6649672574
606329.108918,4063542.43998,-74.1789889048
606326.985839,4063519.36716,-74.6033617855
606325.506211,4063503.28712,-74.8991180463
606329.791539,4063549.85845,-74.0425427775
606334.078685,4063596.44952,-73.1856042634
606335.685754,4063613.91454,-72.8643743871
606335.78828,4063615.09504,-72.8426469535
606336.840291,4063627.20814,-72.6197017908
606339.250822,4063654.96357,-72.1088551222
606341.471038,4063680.52767,-71.6383406035
606344.836597,4063719.27952,-70.4478152997
606342.64625,4063694.05934,-71.3892862885
606345.842973,4063730.86717,-70.0152473058
606358.69252,4063878.81993,-64.4921595424
606377.836777,4063881.59487,-64.4343858451
606382.611761,4063882.287,-64.4199758591
606385.148272,4063882.65467,-64.4123211541
606508.430013,4063834.32072,-63.7709863274
606685.148272,4063801.92159,-63.0235938053
