x,y,z
608785.148272,4063694.05934,-52.5068928941
609085.148272,4063694.05934,-49.7422651902
609385.148272,4063694.05934,-45.227794536
612385.148272,4057026.97493,-5.51279149323
612685.148272,4057026.97493,-9.06550544522
612985.148272,4057026.97493,-15.7303532388
611185.148272,4060836.73745,-32.1914900343
609985.148272,4060360.51713,-25.3034768337
609685.148272,4065122.72029,-42.1830508529
609385.148272,4065122.72029,-43.3125286487
608485.148272,4063694.05934,-54.7502932455
608185.148272,4063694.05934,-56.6357304653
609085.148272,4060836.73745,-32.8538175145
609385.148272,4060836.73745,-30.7338217376
613885.148272,4057026.97493,-45.3552127602
613585.148272,4057026.97493,-34.3619779271
610285.148272,4059884.29682,-24.1296025952
610585.148272,4059884.29682,-25.5564989169
607885.148272,4065122.72029,-61.3363888229
608185.148272,4065122.72029,-58.4375473281
609085.148272,4065122.72029,-46.5054891316
608785.148272,4065122.72029,-50.6811338319
611185.148272,4059408.0765,-32.2110079027
608185.148272,4060360.51713,-37.4896766289
611785.148272,4057503.19524,-11.3438872716
610585.148272,4061312.95777,-34.2117347045
609985.148272,4062265.3984,-31.018052642
609985.148272,4058455.63587,-32.0047208866
611185.148272,4057503.19524,-14.6807777991
611485.148272,4057503.19524,-12.921147467
608185.148272,4059884.29682,-38.8933123787
612985.148272,4056074.53429,-12.0952713109
612985.148272,4056550.75461,-12.8296804059
609385.148272,4062741.61871,-36.9273064044
609385.148272,4063217.83903,-39.6521380251
609985.148272,4061789.17808,-33.2411567605
611185.148272,4059884.29682,-33.2469434752
611185.148272,4060360.51713,-33.247718662
607585.148272,4062741.61871,-53.0908702863
607585.148272,4063217.83903,-56.5143499509
607585.148272,4060836.73745,-41.6934012873
607585.148272,4061312.95777,-43.1249130275
610585.148272,4064170.27966,-35.5173605077
609385.148272,4061312.95777,-33.51813376
609385.148272,4061789.17808,-35.1212503736
609985.148272,4063694.05934,-32.0006839669
612385.148272,4058931.85619,-53.6252205939
607585.148272,4063694.05934,-59.1565454208
612985.148272,4058455.63587,-55.5368669245
608785.148272,4062265.3984,-41.6269763248
608185.148272,4062265.3984,-46.1142555459
610585.148272,4063694.05934,-26.3866183158
611185.148272,4063694.05934,-38.7988065479
607585.148272,4060360.51713,-42.0577164468
607585.148272,4061789.17808,-46.0970363595
610585.148272,4057503.19524,-19.8965751417
612385.148272,4056550.75461,-4.99895490044
609985.148272,4060836.73745,-28.329945343
614185.148272,4057503.19524,-69.149029791
613585.148272,4057503.19524,-45.1744665004
610585.148272,4060360.51713,-26.3944075737
611785.148272,4057026.97493,-6.20084030963
610585.148272,4060836.73745,-28.8308554504
609985.148272,4057979.41556,-30.0840239164
611185.148272,4057026.97493,-10.4967661625
612985.148272,4055598.31398,-12.7355975869
609385.148272,4062265.3984,-35.806823597
609985.148272,4061312.95777,-31.772950754
607585.148272,4062265.3984,-49.4467741457
613585.148272,4057979.41556,-59.7862284876
606985.148272,4063694.05934,-61.5084120286
607585.148272,4059884.29682,-45.8631210679
610585.148272,4057026.97493,-16.9950568771
612385.148272,4056074.53429,-6.35264888336
606985.148272,4062741.61871,-56.503396789
606985.148272,4063217.83903,-59.1071759786
606985.148272,4060836.73745,-49.5991572494
606985.148272,4061312.95777,-50.6748494174
606985.148272,4061789.17808,-52.0595830691
606985.148272,4059884.29682,-48.334958414
606985.148272,4060360.51713,-48.7123802681
609985.148272,4057026.97493,-23.5714163184
609985.148272,4057503.19524,-27.1908199009
611785.148272,4056074.53429,-4.80616930152
611785.148272,4056550.75461,-5.4194588362
612385.148272,4055598.31398,-7.11241245737
606985.148272,4062265.3984,-54.032418185
606385.148272,4063694.05934,-63.5332412708
610585.148272,4056074.53429,-11.7916910616
611185.148272,4056074.53429,-7.16367906173
605785.148272,4059884.29682,-54.1762249074
605582.099734,4059884.29682,-56.395305505
605624.580612,4060011.73945,-56.1452948328
605719.85463,4060297.56151,-55.327070746
605720.570849,4060299.71016,-55.3209197755
605723.56538,4060308.69376,-55.2952024009
605725.731869,4060317.93744,-55.2792547515
605785.148272,4060571.44743,-54.8418871796
605842.034529,4060814.16212,-54.796127702
605848.847262,4060843.22979,-54.8216070641
605847.325621,4060836.73745,-54.8139159333
605849.112542,4060844.36165,-54.8229479163
605849.57246,4060846.32397,-54.8252725719
605849.843771,4060847.48156,-54.8266439114
605849.885031,4060847.6576,-54.8268524582
605851.079213,4060852.75278,-54.8328884471
605862.894541,4060903.16485,-54.9045251415
605853.701917,4060863.94298,-54.8461448903
605906.352299,4061088.58461,-55.1805154039
606023.727223,4061123.59881,-54.7177902062
606255.641309,4061023.45274,-53.364317707
606385.153095,4060971.94049,-52.6543953485
606516.170289,4061044.70995,-52.2183025474
606741.629284,4061223.32567,-51.5908076665
606724.422909,4061209.48884,-51.6360638171
606826.853416,4061375.77712,-51.5843135263
606783.799937,4061312.96227,-51.6244272038
606893.628975,4061477.39586,-51.5732006256
606146.848275,4062114.70077,-57.2259466685
606112.888919,4061969.80752,-56.804135012
606147.32414,4062116.73113,-57.2318574218
606148.383422,4062121.25073,-57.245014841
606296.470379,4062061.60263,-56.3382666883
606297.465926,4062062.10043,-56.3357403236
606297.471092,4062062.10301,-56.3357272138
606393.370844,4062066.63596,-55.9199319077
606485.394479,4062067.07097,-55.5053955424
606633.626301,4062068.22851,-54.8295940256
606808.361676,4061929.54377,-53.4527794291
606933.855794,4061793.27759,-52.312072158
606698.131155,4062050.20234,-54.4587472828
606731.834135,4062027.31205,-54.2091747637
606933.533347,4061789.17808,-52.2965696603
606148.465816,4062121.60228,-57.2460382657
606179.370516,4062253.46234,-57.6299078255
606180.57685,4062258.60936,-57.6448917826
606203.623596,4062356.94214,-57.9311571092
606202.055003,4062350.24948,-57.9116735087
606222.29787,4062436.61905,-58.1631116451
606221.382846,4062432.71495,-58.15174607
606228.018059,4062461.02519,-58.2341625325
606228.843982,4062464.54912,-58.2444213813
606230.105501,4062477.97253,-58.2920243103
606232.35679,4062501.92774,-58.376975751
606385.165703,4062066.59718,-55.9568933837
606237.993581,4062561.90693,-58.5896777194
606275.241485,4062958.24937,-60.5374545953
606273.08047,4062935.25473,-60.4391138332
606254.882732,4062741.61871,-59.4539157459
606275.58226,4062961.87543,-60.5529621339
606280.617832,4063015.45727,-60.7821146457
606281.61191,4063026.26052,-60.8283953233
606282.912177,4063040.39134,-60.8889311215
606283.298192,4063044.5864,-60.9069026025
606284.365053,4063056.18065,-60.9565718267
606285.535462,4063068.9002,-61.0110618258
606285.902945,4063072.89387,-61.0281705427
606328.189069,4063532.4434,-62.996860722
606331.918431,4063572.97269,-63.1704864404
606333.044603,4063585.2115,-63.2229169635
606335.685754,4063613.91454,-63.3458795158
606385.16605,4062066.59718,-55.9568918173
606634.754848,4062068.02644,-54.8235752758
606685.181286,4062058.9976,-54.5546418195
606688.540009,4062056.71643,-54.5297702765
606698.130423,4062050.20284,-54.4587527048
606337.500975,4063634.81542,-63.4356892272
606335.84975,4063615.80282,-63.3540049922
606340.92533,4063674.24426,-63.6050881673
606342.64625,4063694.05934,-63.6902201276
607774.021353,4064886.98338,-61.966123651
607803.142732,4064917.53151,-61.7725565146
607829.443296,4064853.05796,-61.513595079
607841.594531,4064919.51486,-61.4819174335
607872.637354,4064861.68384,-61.1929590972
607875.048983,4064887.38634,-61.1981087629
611185.082215,4063100.85787,-26.5448553134
611124.433575,4063217.8185,-23.5315104134
611124.426963,4063217.83903,-23.5310479342
611185.108014,4063246.06046,-25.375375939
611185.148272,4063246.05939,-25.3760066534
611213.386104,4063217.83903,-26.1227124902
611213.497446,4063214.29899,-26.1636359352
611185.148272,4063100.89018,-26.5453858451
611209.920154,4063198.11579,-26.1207645693
611209.94158,4063198.16057,-26.1210747707
614185.148272,4057661.46006,-74.2895390575
613531.781868,4058455.63587,-75.8919099957
613585.148272,4058397.25763,-75.6611730253
613951.654822,4057979.41556,-74.9538832484
609706.379585,4057026.97493,-26.6525111545
609791.089166,4056718.9253,-23.5829874986
609623.207722,4057790.46765,-33.614935242
609670.580587,4057253.5227,-28.7700046477
609542.789682,4058931.85619,-40.0435625939
609562.320595,4058736.8794,-38.3947744053
609503.845839,4059075.75602,-40.87903616
609846.973437,4058089.085,-32.6765031281
609783.255174,4057979.41556,-32.6939127829
609856.087617,4058455.63587,-34.0130530035
